"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-AWS-TRN2-S14-NEURON-2-21-FIRST-SUPPORT","FACT-AWS-TRN2-ARCH-SW-RUNTIME","SRC-AWS-TRN2-S14","status_version","direct_statement","qualifies","AWS Neuron 2.21 adds support for Trainium2 and Trn2 instances","","","title and body; published 2024-12-23","","source_checked","root_postmerge_remediation","root","2026-08-12","AFP-AWS-TRN2-S14-NEURON-2-21-FIRST-SUPPORT","reviewed","保留 S14 的独有历史版本职责；不把版本发布日期误写成芯片供货日期。"
"ASRT-GROQ-LPU1-NAME","FACT-GROQ-LPU1-NAME","SRC-GROQ-TSP-ISCA2020","identity","direct_statement","supports","First-generation Groq Tensor Streaming Processor architecture","","","PDF p.12, Conclusion","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-NAME","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-EXECUTION","FACT-GROQ-LPU1-EXECUTION","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","Statically scheduled, compiler-orchestrated spatial execution without caches or arbiters","","","PDF pp.1-3, architecture overview","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-EXECUTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-MXM-INT8-OPERANDS","FACT-GROQ-LPU1-MXM-INT8-OPERANDS","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","INT8","","","PDF pp.9-10, Data Types and MXM","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-MXM-INT8-OPERANDS","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-MXM-INT8-ACCUM","FACT-GROQ-LPU1-MXM-INT8-ACCUM","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","INT32","","","PDF pp.9-10, Data Types and MXM","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-MXM-INT8-ACCUM","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-MXM-FP16-OPERANDS","FACT-GROQ-LPU1-MXM-FP16-OPERANDS","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","FP16","","","PDF pp.9-10, Data Types and MXM","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-MXM-FP16-OPERANDS","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-MXM-FP16-ACCUM","FACT-GROQ-LPU1-MXM-FP16-ACCUM","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","FP32","","","PDF pp.9-10, Data Types and MXM","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-MXM-FP16-ACCUM","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-SXM-FUNCTION","FACT-GROQ-LPU1-SXM-FUNCTION","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","Vector permutation, rotation, distribution and transformation","","","PDF pp.4, 9, SXM description","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-SXM-FUNCTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-SW-MAPPING","FACT-GROQ-LPU1-SW-MAPPING","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","Compiler explicitly schedules instructions, data movement and functional slices","","","PDF pp.3-5, compiler scheduling","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-SW-MAPPING","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-NAME","FACT-NVG3-NAME","SRC-NVG3-ARCH-BLOG-2026-03-16","identity","direct_statement","supports","NVIDIA Groq 3 LPU architecture","","","Section First look at the architecture","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-NAME","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-EXECUTION","FACT-NVG3-EXECUTION","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","direct_statement","supports","Deterministic compiler-orchestrated spatial execution with explicit overlap of memory, compute and communication","","","Section Deterministic, compiler-orchestrated execution","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-EXECUTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-INSTRUCTION-TILE","FACT-NVG3-INSTRUCTION-TILE","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","direct_statement","supports","320-byte vectors for compute and communication","","","Section Tensor-first compute and explicit data movement","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-INSTRUCTION-TILE","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-MXM-FUNCTION","FACT-NVG3-MXM-FUNCTION","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","direct_statement","supports","Dense multiply-accumulate on fixed data types; exact types not stated","","","Section Tensor-first compute and explicit data movement","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-MXM-FUNCTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-VXM-FUNCTION","FACT-NVG3-VXM-FUNCTION","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","direct_statement","supports","Pointwise arithmetic, data conversion and activation functions","","","Section Tensor-first compute and explicit data movement","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-VXM-FUNCTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-SXM-FUNCTION","FACT-NVG3-SXM-FUNCTION","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","direct_statement","supports","Permutation, rotation, distribution and transposition of vectors","","","Section Tensor-first compute and explicit data movement","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-SXM-FUNCTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-SRAM-MANAGEMENT","FACT-NVG3-SRAM-MANAGEMENT","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","direct_statement","supports","Flat SRAM-first working storage managed by compiler and runtime, not a hardware-managed cache","","","Section MEM enables extreme on-chip memory bandwidth","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-SRAM-MANAGEMENT","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-C2C-PROTOCOL","FACT-NVG3-C2C-PROTOCOL","SRC-NVG3-C2C-BLOG-2026-05-14","architecture_mechanism","direct_statement","supports","Plesiosynchronous near-synchronous protocol that compensates for clock drift","","","Section Hardware-driven plesiosynchronous timing","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-C2C-PROTOCOL","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-C2C-ROUTING","FACT-NVG3-C2C-ROUTING","SRC-NVG3-C2C-BLOG-2026-05-14","architecture_mechanism","direct_statement","supports","Compiler schedules vectors, routes and arrival timing deterministically","","","Section Compiler-scheduled data movement","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-C2C-ROUTING","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-SW-COMPILER","FACT-NVG3-SW-COMPILER","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","direct_statement","supports","Compiler explicitly orchestrates data movement, compute, communication and cross-LPU routes","","","Section Deterministic, compiler-orchestrated execution","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-SW-COMPILER","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-NAME","FACT-HUAWEI-DV-NAME","SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","identity","direct_statement","supports","Da Vinci scalable AI Core architecture","","","PDF pp.1, 9, Da Vinci architecture","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-NAME","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-EXECUTION","FACT-HUAWEI-DV-EXECUTION","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","Scalar control, SIMD vector processing, cube matrix processing and MTE data movement execute through separate queues","","","PDF pp.3-4, AI Core architecture","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-EXECUTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-CONCURRENCY","FACT-HUAWEI-DV-CONCURRENCY","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","Cube, vector and MTE can operate in parallel with barriers for dependency control","","","PDF p.4, AI Core data path and MTE","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-CONCURRENCY","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-CUBE-FP16-OPERAND-A","FACT-HUAWEI-DV-CUBE-FP16-OPERAND-A","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","FP16","","","PDF p.3, Cube Unit","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-CUBE-FP16-OPERAND-A","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-CUBE-FP16-OPERAND-B","FACT-HUAWEI-DV-CUBE-FP16-OPERAND-B","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","FP16","","","PDF p.3, Cube Unit","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-CUBE-FP16-OPERAND-B","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-CUBE-FP16-OUTPUT","FACT-HUAWEI-DV-CUBE-FP16-OUTPUT","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","FP32","","","PDF p.3, Cube Unit","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-CUBE-FP16-OUTPUT","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-CUBE-INT8-OPERAND-A","FACT-HUAWEI-DV-CUBE-INT8-OPERAND-A","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","INT8","","","PDF p.3, Cube Unit","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-CUBE-INT8-OPERAND-A","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-NUM-CONVERSION","FACT-HUAWEI-DV-NUM-CONVERSION","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","Conversions among INT32, FP16 and INT8 are supported in the vector path","","","PDF pp.3-4, Vector Unit","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-NUM-CONVERSION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-MTE-DMA","FACT-HUAWEI-DV-MTE-DMA","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","Transfers data from L1 to L0A/L0B/L0C and supports zero decompression, img2col and transpose","","","PDF p.4, AI Core data path and MTE","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-MTE-DMA","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-MTE-DECOMP","FACT-HUAWEI-DV-MTE-DECOMP","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","Zero decompression in the Memory Transfer Engine","","","PDF p.4, AI Core data path and MTE","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-MTE-DECOMP","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-MTE-RESHAPE","FACT-HUAWEI-DV-MTE-RESHAPE","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","Img2col and transpose in the Memory Transfer Engine","","","PDF p.4, AI Core data path and MTE","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-MTE-RESHAPE","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-HUAWEI-DV-SW-PROGRAMMING","FACT-HUAWEI-DV-SW-PROGRAMMING","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","direct_statement","supports","TBE, TIK and CCE-C interfaces map software to Da Vinci AI Core operations","","","PDF p.9, software stack","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-HUAWEI-DV-SW-PROGRAMMING","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-VXM-FUNCTION","FACT-GROQ-LPU1-VXM-FUNCTION","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","Vector arithmetic is executed through a lane-local ALU mesh","","","PDF pp.4, 8, VXM description","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-VXM-FUNCTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-MEM-MANAGEMENT","FACT-GROQ-LPU1-MEM-MANAGEMENT","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","Flat global SRAM is explicitly managed by compiler-scheduled data movement rather than a hardware-managed cache","","","PDF pp.1-3, 6, memory model","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-MEM-MANAGEMENT","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-C2C-PROTOCOL","FACT-GROQ-LPU1-C2C-PROTOCOL","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","C2C send and receive instructions move architecture vectors between processors","","","PDF pp.4-5, C2C instructions","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-C2C-PROTOCOL","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-VXM-FP16-SUPPORT","FACT-GROQ-LPU1-VXM-FP16-SUPPORT","SRC-GROQ-GROQCHIP-BRIEF-V1-7","architecture_mechanism","direct_statement","supports","FP16","","","PDF p.2, Technology Specifications / Numerics","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-VXM-FP16-SUPPORT","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-VXM-FP32-SUPPORT","FACT-GROQ-LPU1-VXM-FP32-SUPPORT","SRC-GROQ-GROQCHIP-BRIEF-V1-7","architecture_mechanism","direct_statement","supports","FP32","","","PDF p.2, Technology Specifications / Numerics","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-VXM-FP32-SUPPORT","draft","中文卡片使用释义；此行保留原文定位"
